00:45:08.610850          Saving settings file "C:\Users\Joun\VirtualBox VMs\UbuntuServerAlpha\UbuntuServerAlpha.vbox" with version "1.19-windows"
00:45:08.612395          Finished saving settings file "C:\Users\Joun\VirtualBox VMs\UbuntuServerAlpha\UbuntuServerAlpha.vbox"
00:45:08.615853          UnattendedInstaller::initInstaller: UnattendedInstaller::savePassedData(): 
00:45:08.639359          Platform architecture set to 'x86'
00:45:08.643019          Saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:45:08.644827          Finished saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml"
00:45:08.644908          Saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:45:08.646971          Finished saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml"
00:45:08.647152          Saving settings file "C:\Users\Joun\VirtualBox VMs\UbuntuServerAlpha\UbuntuServerAlpha.vbox" with version "1.19-windows"
00:45:08.648579          Finished saving settings file "C:\Users\Joun\VirtualBox VMs\UbuntuServerAlpha\UbuntuServerAlpha.vbox"
00:45:08.660573          Launched VM: 3685435072 pid: 12936 (0x3288) frontend: GUI/Qt name: UbuntuServerAlpha
00:45:08.705993          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:45:15.830714          Saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:45:15.835933          Finished saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml"
00:45:15.843455          Platform architecture set to 'x86'
00:45:16.065534          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:45:20.660785          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:45:25.411618          netIfIsWireless: CreateFile on '\\.\{ED22CEC9-7DB4-4192-ADD1-0D82C70E1EB8}' failed with rcWin=2 (0x2) - ignoring
00:45:25.412662          netIfIsWireless: CreateFile on '\\.\{FD33FAB9-2313-450D-BBF9-F41A4138DA5A}' failed with rcWin=2 (0x2) - ignoring
00:45:25.416907          Saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:45:25.419796          Finished saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml"
00:45:25.420244          Saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:45:25.422549          Finished saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml"
00:45:25.422987          Saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:45:25.425475          Finished saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml"
00:45:25.426007          Saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:45:25.428217          Finished saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml"
00:45:25.428685          Saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml" with version "1.12-windows"
00:45:25.431557          Finished saving settings file "C:\Users\Joun\.VirtualBox\VirtualBox.xml"
00:45:25.678128          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:45:25.678771          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:45:25.694371          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={SessionMachine} aText={The machine is not mutable or saved (state is Starting)}, preserve=false aResultDetail=0
00:45:25.702687          ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={SessionMachine} aText={The machine is not mutable or saved (state is Starting)}, preserve=false aResultDetail=0
00:45:25.704129          Saving settings file "C:\Users\Joun\VirtualBox VMs\UbuntuServerAlpha\UbuntuServerAlpha.vbox" with version "1.19-windows"
00:45:25.706297          Finished saving settings file "C:\Users\Joun\VirtualBox VMs\UbuntuServerAlpha\UbuntuServerAlpha.vbox"
00:45:25.717582          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:45:26.817949          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:45:26.818287          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
00:45:26.819112          HostDnsMonitorProxy::GetDomainName: no domain set
00:45:26.819150          HostDnsMonitorProxy::GetNameServers:
00:45:26.819155            name server 1: 24.201.245.77
00:45:26.819158            name server 2: 24.200.243.189
00:45:26.819191          HostDnsMonitorProxy::GetSearchStrings:
00:45:26.819196            no search string entries
00:45:26.840831          ERROR [COM]: aRC=E_FAIL (0x80004005) aIID={83cfdc66-4f20-4569-ad39-8722f7d472b3} aComponent={RecordingSettingsWrap} aText={Recording not started}, preserve=false aResultDetail=0
00:45:26.872574          ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={5bfd8965-b81b-469f-8649-f717ce97a5d5} aComponent={NvramStoreWrap} aText={The UEFI NVRAM file is not existing for this machine}, preserve=false aResultDetail=0
00:45:30.875173          Saving settings file "C:\Users\Joun\VirtualBox VMs\UbuntuServerAlpha\UbuntuServerAlpha.vbox" with version "1.19-windows"
00:45:30.877608          Finished saving settings file "C:\Users\Joun\VirtualBox VMs\UbuntuServerAlpha\UbuntuServerAlpha.vbox"
